waktu,Aisha & Auda,Dafi & Taufik
10:36:23,0,0
10:36:53,0,0
10:37:23,0,0
10:37:53,1,0
10:38:23,3,0
10:38:53,3,0
10:39:23,5,0
10:39:53,5,0
10:40:23,6,1
10:40:53,6,1
10:41:23,6,1
10:41:53,6,1
10:42:23,6,1
10:42:53,6,1
10:43:23,6,1
10:43:54,6,1
10:44:24,6,2
10:44:54,6,3
10:45:24,7,3
10:45:54,7,3
10:46:24,8,4
10:46:54,11,5
10:47:24,12,5
10:47:54,14,5
10:48:24,15,5
10:48:54,15,6
10:49:24,16,6
10:49:54,18,7
10:50:24,19,7
10:50:55,19,7
10:51:25,20,8
10:51:55,21,9
10:52:25,21,12
10:52:55,21,12
10:53:25,23,12
10:53:55,23,12
10:54:25,23,12
10:54:55,23,12
10:55:25,23,13
10:55:55,24,14
10:56:25,24,15
10:56:55,26,16
10:57:25,27,17
10:57:56,30,17
10:58:26,32,17
10:58:56,33,19
10:59:26,33,20
10:59:56,35,20
11:00:26,35,21
11:00:56,35,21
11:01:26,36,24
11:01:56,37,25
11:02:26,39,25
11:02:56,40,25
11:03:26,42,25
11:03:56,42,25
11:04:26,43,25
11:04:56,46,26
11:05:27,47,26
11:05:57,48,28
11:06:27,49,28
11:06:57,53,28
11:07:27,54,29
11:07:57,55,31
11:08:27,55,31
11:08:57,56,33
11:09:27,57,35
11:09:57,58,36
11:10:27,58,37
11:10:57,59,39
11:11:27,59,40
11:11:57,59,41
11:12:27,59,41
11:12:57,61,41
11:13:27,64,41
11:13:57,65,41
11:14:28,66,41
11:14:58,67,42
11:15:28,68,43
11:15:58,69,43
11:16:28,69,44
11:16:58,70,46
11:17:28,71,46
11:17:58,74,46
11:18:28,76,47
11:18:58,78,48
11:19:28,78,48
11:19:58,78,48
11:20:28,78,48
11:20:58,79,49
11:21:28,80,50
11:21:58,81,52
11:22:28,81,52
11:22:59,81,52
11:23:29,83,52
11:23:59,87,52
11:24:29,88,52
11:24:59,90,53
11:25:29,90,54
11:25:59,90,55
11:26:29,90,55
11:26:59,91,57
11:27:29,92,57
11:27:59,93,59
11:28:29,94,60
11:28:59,94,61
11:29:29,95,61
11:29:59,96,62
11:30:29,96,64
11:30:59,98,65
11:31:30,99,67
11:32:00,99,68
11:32:30,101,69
11:33:00,102,70
11:33:30,105,70
11:34:00,106,72
11:34:30,108,72
11:35:00,108,75
11:35:30,110,77
11:36:00,111,78
11:36:30,113,78
11:37:00,116,79
11:37:30,117,79
11:38:00,121,79
11:38:30,124,80
11:39:00,127,80
11:39:31,128,82
11:40:01,131,82
11:40:31,131,83
11:41:01,137,83
11:41:31,140,83
11:42:01,141,83
11:42:31,144,85
11:43:01,146,87
11:43:31,146,89
11:44:01,149,90
11:44:31,150,91
11:45:01,152,92
11:45:31,155,92
11:46:02,156,94
11:46:32,158,97
11:47:02,159,97
11:47:32,159,97
11:48:02,160,97
11:48:32,162,97
11:49:02,165,97
11:49:32,165,97
11:50:02,166,97
11:50:32,169,98
11:51:02,170,98
11:51:32,171,98
11:52:03,174,99
11:52:33,176,99
11:53:03,178,99
11:53:33,179,99
11:54:03,183,99
11:54:33,183,99
11:55:03,185,99
11:55:33,186,99
11:56:03,188,99
11:56:33,189,99
11:57:03,189,99
11:57:33,190,99
11:58:03,190,99
11:58:33,190,99
11:59:04,190,99
11:59:34,193,99
12:00:04,193,101
12:00:34,197,101
12:01:04,199,101
12:01:34,203,101
12:02:04,206,101
12:02:34,209,101
12:03:04,211,101
12:03:34,217,101
12:04:04,219,101
12:04:34,220,101
12:05:04,221,101
12:05:34,221,101
12:06:04,223,101
12:06:35,223,102
12:07:05,223,102
12:07:35,225,103
12:08:05,226,103
12:08:35,228,103
12:09:05,231,103
12:09:35,233,103
12:10:05,234,103
12:10:35,236,103
12:11:05,238,103
12:11:35,241,103
12:12:05,242,103
12:12:35,243,103
12:13:06,244,103
12:13:36,246,103
12:14:06,247,103
12:14:36,248,103
12:15:06,248,103
12:15:36,248,103
12:16:06,248,105
12:16:36,250,105
12:17:06,252,105
12:17:36,253,106
12:18:06,255,106
12:18:36,256,106
12:19:06,257,106
12:19:37,257,106
12:20:07,258,106
12:20:37,259,106
12:21:07,259,106
12:21:37,259,106
12:22:07,261,106
12:22:37,261,106
12:23:07,261,106
12:23:37,261,106
12:24:07,261,106
12:24:37,261,106
12:26:08,261,106
12:26:38,261,106
12:27:08,261,106
12:27:38,262,106
12:28:08,263,106
12:28:38,264,106
12:29:08,265,106
12:29:38,265,106
12:30:08,265,106
12:30:38,265,106
12:31:09,265,106
12:31:39,265,106
12:32:09,266,106
12:32:39,267,106
12:33:09,268,106
12:33:39,266,106
12:34:09,265,106
12:34:39,267,106
12:35:09,265,106
12:35:39,266,107
12:36:09,266,107
12:36:39,266,107
13:04:06,268,108
14:00:56,277,112
