waktu,Rafie & Adly,Hani & Zahwa,Zola & Assyarof
10:36:23,0,0,0
10:36:53,0,0,0
10:37:23,0,0,0
10:37:53,0,1,0
10:38:23,0,3,0
10:38:53,0,3,0
10:39:23,0,5,0
10:39:53,0,5,0
10:40:23,1,6,0
10:40:53,1,6,0
10:41:23,1,6,0
10:41:53,1,6,0
10:42:23,1,6,0
10:42:53,1,6,0
10:43:23,1,6,0
10:43:54,1,6,0
10:44:24,1,7,0
10:44:54,1,8,0
10:45:24,2,8,0
10:45:54,2,8,0
10:46:24,3,8,1
10:46:54,4,11,1
10:47:24,5,11,1
10:47:54,5,11,3
10:48:24,5,12,3
10:48:54,5,12,4
10:49:24,5,13,4
10:49:54,6,14,5
10:50:24,6,15,5
10:50:55,6,15,5
10:51:25,7,16,5
10:51:55,8,16,6
10:52:25,9,17,7
10:52:55,9,17,7
10:53:25,9,18,8
10:53:55,9,18,8
10:54:25,9,18,8
10:54:55,9,18,8
10:55:25,9,18,9
10:55:55,9,19,10
10:56:25,9,20,10
10:56:55,9,21,12
10:57:25,9,23,12
10:57:56,10,23,14
10:58:26,11,23,15
10:58:56,11,25,16
10:59:26,12,25,16
10:59:56,12,25,18
11:00:26,13,25,18
11:00:56,13,25,18
11:01:26,14,28,18
11:01:56,14,30,18
11:02:26,14,30,20
11:02:56,14,31,20
11:03:26,14,31,22
11:03:56,14,31,22
11:04:26,15,31,22
11:04:56,16,33,23
11:05:27,17,33,23
11:05:57,17,33,26
11:06:27,17,34,26
11:06:57,18,35,28
11:07:27,18,35,30
11:07:57,19,35,32
11:08:27,19,35,32
11:08:57,21,35,33
11:09:27,22,36,34
11:09:57,22,37,35
11:10:27,22,37,36
11:10:57,23,37,38
11:11:27,23,37,39
11:11:57,23,37,40
11:12:27,23,37,40
11:12:57,23,39,40
11:13:27,24,40,41
11:13:57,24,41,41
11:14:28,24,41,42
11:14:58,24,43,42
11:15:28,24,43,44
11:15:58,24,43,45
11:16:28,24,43,46
11:16:58,25,43,48
11:17:28,25,43,49
11:17:58,26,43,51
11:18:28,26,44,53
11:18:58,28,45,53
11:19:28,28,45,53
11:19:58,28,45,53
11:20:28,28,45,53
11:20:58,29,45,54
11:21:28,29,45,56
11:21:58,30,45,58
11:22:28,30,45,58
11:22:59,30,45,58
11:23:29,30,45,60
11:23:59,30,47,62
11:24:29,30,47,63
11:24:59,32,48,63
11:25:29,32,48,64
11:25:59,32,48,65
11:26:29,32,48,65
11:26:59,33,48,67
11:27:29,33,49,67
11:27:59,33,50,69
11:28:29,33,51,70
11:28:59,33,51,71
11:29:29,34,51,71
11:29:59,35,51,72
11:30:29,36,51,73
11:30:59,37,51,75
11:31:30,38,51,77
11:32:00,38,51,78
11:32:30,39,52,79
11:33:00,40,52,80
11:33:30,42,52,81
11:34:00,44,52,82
11:34:30,44,54,82
11:35:00,45,55,83
11:35:30,48,55,84
11:36:00,48,55,86
11:36:30,49,56,86
11:37:00,51,56,88
11:37:30,52,56,88
11:38:00,55,56,89
11:38:30,58,56,90
11:39:00,60,57,90
11:39:31,60,58,92
11:40:01,60,59,94
11:40:31,61,59,94
11:41:01,63,59,98
11:41:31,64,59,100
11:42:01,64,59,101
11:42:31,65,60,104
11:43:01,67,60,106
11:43:31,67,60,108
11:44:01,70,60,109
11:44:31,70,61,110
11:45:01,71,61,112
11:45:31,73,61,113
11:46:02,73,61,116
11:46:32,74,61,120
11:47:02,75,61,120
11:47:32,75,61,120
11:48:02,76,61,120
11:48:32,76,63,120
11:49:02,76,66,120
11:49:32,76,66,120
11:50:02,76,67,120
11:50:32,76,71,120
11:51:02,76,72,120
11:51:32,76,73,120
11:52:03,76,76,121
