waktu,Aleric & Kautsar,Firza & Atha,Irsyad & Nadhif
10:36:23,0,0,0
10:36:53,0,0,0
10:37:23,0,0,0
10:37:53,0,0,1
10:38:23,1,1,1
10:38:53,1,1,1
10:39:23,1,2,2
10:39:53,1,2,2
10:40:23,1,3,3
10:40:53,1,3,3
10:41:23,1,3,3
10:41:53,1,3,3
10:42:23,1,3,3
10:42:53,1,3,3
10:43:23,1,3,3
10:43:54,1,3,3
10:44:24,1,3,4
10:44:54,2,3,4
10:45:24,2,4,4
10:45:54,2,4,4
10:46:24,2,5,5
10:46:54,5,5,6
10:47:24,5,6,6
10:47:54,7,6,6
10:48:24,8,6,6
10:48:54,8,6,7
10:49:24,9,6,7
10:49:54,10,8,7
10:50:24,10,9,7
10:50:55,10,9,7
10:51:25,11,10,7
10:51:55,11,11,8
10:52:25,14,11,8
10:52:55,14,11,8
10:53:25,15,11,9
10:53:55,15,11,9
10:54:25,15,11,9
10:54:55,15,11,9
10:55:25,15,11,10
10:55:55,16,11,11
10:56:25,16,11,12
10:56:55,16,13,13
10:57:25,17,14,13
10:57:56,20,14,13
10:58:26,22,14,13
10:58:56,24,14,14
10:59:26,24,15,14
10:59:56,26,15,14
11:00:26,26,16,14
11:00:56,26,16,14
11:01:26,26,17,17
11:01:56,26,17,19
11:02:26,28,17,19
11:02:56,29,17,19
11:03:26,31,17,19
11:03:56,31,17,19
11:04:26,32,17,19
11:04:56,35,18,19
11:05:27,36,18,19
11:05:57,37,20,19
11:06:27,38,20,19
11:06:57,41,21,19
11:07:27,42,21,20
11:07:57,43,21,22
11:08:27,43,21,22
11:08:57,46,21,22
11:09:27,48,22,22
11:09:57,49,23,22
11:10:27,50,23,22
11:10:57,53,23,22
11:11:27,53,23,23
11:11:57,53,23,24
11:12:27,53,23,24
11:12:57,55,23,24
11:13:27,58,23,24
11:13:57,59,23,24
11:14:28,59,23,25
11:14:58,61,23,25
11:15:28,62,23,26
11:15:58,63,23,26
11:16:28,64,23,26
11:16:58,65,23,28
11:17:28,66,23,28
11:17:58,69,23,28
11:18:28,70,24,29
11:18:58,73,24,29
11:19:28,73,24,29
11:19:58,73,24,29
11:20:28,73,24,29
11:20:58,75,24,29
11:21:28,77,24,29
11:21:58,77,25,31
11:22:28,77,25,31
11:22:59,77,25,31
11:23:29,79,25,31
11:23:59,83,25,31
11:24:29,84,25,31
11:24:59,87,25,31
11:25:29,88,25,31
11:25:59,89,25,31
11:26:29,89,25,31
11:26:59,92,25,31
11:27:29,93,25,31
11:27:59,96,25,31
11:28:29,97,25,32
11:28:59,98,25,32
11:29:29,99,25,32
11:29:59,100,25,33
11:30:29,101,25,34
11:30:59,103,25,35
11:31:30,104,25,37
11:32:00,104,25,38
11:32:30,106,25,39
11:33:00,108,25,39
11:33:30,111,25,39
11:34:00,113,25,40
11:34:30,115,25,40
11:35:00,115,25,43
11:35:30,118,25,44
11:36:00,120,25,44
11:36:30,122,25,44
11:37:00,126,25,44
11:37:30,126,26,44
11:38:00,129,27,44
11:38:30,131,28,45
11:39:00,134,28,45
11:39:31,137,28,45
11:40:01,139,29,45
11:40:31,140,29,45
11:41:01,145,30,45
11:41:31,147,31,45
11:42:01,147,31,46
11:42:31,151,32,46
11:43:01,153,33,47
11:43:31,154,33,48
11:44:01,157,34,48
11:44:31,159,34,48
11:45:01,161,34,49
11:45:31,163,35,49
11:46:02,164,35,51
11:46:32,166,37,52
11:47:02,167,37,52
11:47:32,167,37,52
11:48:02,168,37,52
11:48:32,168,37,54
11:49:02,169,37,56
11:49:32,169,37,56
11:50:02,169,37,57
11:50:32,169,38,60
11:51:02,169,39,60
11:51:32,169,39,61
11:52:03,171,40,62
